segment_id,sampled_frame_count,mean_mse,mean_mae,mean_psnr,min_psnr,max_psnr
SEG_11503803033_00000,8,0.022828,0.107291,16.445947,15.4367,17.092002
SEG_2726497009_00003,8,0.02384,0.117836,16.242429,15.702464,16.740032
SEG_2726497009_00006,8,0.02701,0.125736,15.689427,15.407943,15.983807
SEG_3121571439_00000,8,0.032784,0.139644,14.866062,14.218553,15.449583
SEG_3471421544_00008,8,0.009691,0.068472,20.140213,19.762931,20.422588
SEG_4483447009_00001,8,0.022384,0.115428,16.552494,16.053249,17.730793
SEG_5586394125_00000,8,0.024682,0.118362,16.085924,15.709927,16.699904
SEG_5766018720_00003,8,0.029622,0.129689,15.299703,14.666532,15.90077
SEG_5987365500_00000,8,0.020572,0.096302,16.877096,16.354352,17.253443
SEG_5987365500_00001,8,0.021204,0.095566,16.740367,16.496837,17.091154
