segment_id,video_id,segment_index,sampled_frame_count,latent_vector_count,latent_dim
SEG_2726497009_00003,2726497009,3,8,8,256
SEG_2726497009_00006,2726497009,6,8,8,256
SEG_3121571439_00000,3121571439,0,8,8,256
SEG_3471421544_00008,3471421544,8,8,8,256
SEG_4483447009_00001,4483447009,1,8,8,256
SEG_5586394125_00000,5586394125,0,8,8,256
SEG_5766018720_00003,5766018720,3,8,8,256
SEG_5987365500_00000,5987365500,0,8,8,256
SEG_5987365500_00001,5987365500,1,8,8,256
SEG_11503803033_00000,11503803033,0,8,8,256
