metric,value
total_predictions,25.0
valid_predictions,25.0
missing_predictions,0.0
empty_predictions,0.0
error_predictions,0.0
unique_videos_evaluated,24.0
average_evidence_records_per_sample,6.2
elapsed_time_seconds,54.18
average_time_per_sample_seconds,2.17
projected_validation_runtime_minutes,180.46
projected_full_dataset_runtime_hours,28.71
evidence_record_count,38834
unique_video_count,5440
average_evidence_per_video,7.14
segment_strategy,fixed_duration
default_segment_duration_sec,6.0
validation_passed,True
